record_id,date,day_of_week,day_part,sales_usd,labor_hours,transactions,staff_on_floor
101,2024-01-21,Sunday,morning,917.78,17.3,99,8
102,2024-01-21,Sunday,midday,1632.63,9.6,138,8
103,2024-01-21,Sunday,afternoon,1505.58,11.1,68,6
104,2024-01-21,Sunday,evening,1991.86,19.0,176,5
105,2024-01-21,Sunday,night,679.38,8.7,76,5
106,2024-01-22,Monday,morning,647.03,18.7,98,2
107,2024-01-22,Monday,midday,1094.46,9.0,86,2
108,2024-01-22,Monday,afternoon,912.4,11.2,61,5
109,2024-01-22,Monday,evening,1786.53,13.0,98,6
110,2024-01-22,Monday,night,528.64,9.6,164,7
111,2024-01-23,Tuesday,morning,722.8,9.9,42,3
112,2024-01-23,Tuesday,midday,1298.42,10.4,109,7
113,2024-01-23,Tuesday,afternoon,1034.25,11.5,158,7
114,2024-01-23,Tuesday,evening,1747.07,10.1,118,8
115,2024-01-23,Tuesday,night,600.35,8.2,159,6
116,2024-01-24,Wednesday,morning,766.92,19.7,161,5
117,2024-01-24,Wednesday,midday,1332.36,15.9,196,5
118,2024-01-24,Wednesday,afternoon,1227.05,15.9,169,8
119,2024-01-24,Wednesday,evening,1872.4,11.7,85,3
120,2024-01-24,Wednesday,night,433.45,12.1,192,3
121,2024-01-25,Thursday,morning,738.93,8.7,63,2
122,2024-01-25,Thursday,midday,1441.67,8.8,95,5
123,2024-01-25,Thursday,afternoon,1217.43,18.1,159,7
124,2024-01-25,Thursday,evening,1828.74,19.7,183,3
125,2024-01-25,Thursday,night,591.42,10.2,98,5
126,2024-01-26,Friday,morning,937.22,8.0,123,4
127,2024-01-26,Friday,midday,1779.2,10.9,109,3
128,2024-01-26,Friday,afternoon,1422.77,12.3,30,4
129,2024-01-26,Friday,evening,2093.2,14.0,81,3
130,2024-01-26,Friday,night,781.46,14.1,31,2
131,2024-01-27,Saturday,morning,1076.92,12.8,40,5
132,2024-01-27,Saturday,midday,1924.56,8.3,107,7
133,2024-01-27,Saturday,afternoon,1631.45,14.4,69,7
134,2024-01-27,Saturday,evening,2535.57,18.7,182,5
135,2024-01-27,Saturday,night,821.47,13.9,102,7
136,2024-01-28,Sunday,morning,792.75,15.4,67,2
137,2024-01-28,Sunday,midday,1667.45,14.2,139,7
138,2024-01-28,Sunday,afternoon,1267.01,16.4,159,3
139,2024-01-28,Sunday,evening,2182.89,14.8,34,8
140,2024-01-28,Sunday,night,618.25,16.2,194,3
141,2024-01-29,Monday,morning,700.13,15.6,56,5
142,2024-01-29,Monday,midday,1201.92,18.0,172,2
143,2024-01-29,Monday,afternoon,942.03,16.2,155,4
144,2024-01-29,Monday,evening,1449.27,8.0,47,7
145,2024-01-29,Monday,night,665.75,9.1,164,2
146,2024-01-30,Tuesday,morning,649.68,16.9,151,4
147,2024-01-30,Tuesday,midday,1316.27,10.8,82,3
148,2024-01-30,Tuesday,afternoon,935.81,16.9,147,5
149,2024-01-30,Tuesday,evening,1638.06,18.9,103,8
150,2024-01-30,Tuesday,night,513.62,8.6,191,7
151,2024-01-31,Wednesday,morning,794.56,12.0,196,7
152,2024-01-31,Wednesday,midday,1432.59,16.3,189,6
153,2024-01-31,Wednesday,afternoon,1201.39,13.8,55,7
154,2024-01-31,Wednesday,evening,1778.27,10.6,155,4
155,2024-01-31,Wednesday,night,553.23,13.6,60,6
156,2024-02-01,Thursday,morning,736.58,10.4,51,5
157,2024-02-01,Thursday,midday,1488.14,17.8,145,4
158,2024-02-01,Thursday,afternoon,1209.73,12.6,83,2
159,2024-02-01,Thursday,evening,1761.44,14.3,122,3
160,2024-02-01,Thursday,night,578.33,15.2,191,6
161,2024-02-02,Friday,morning,952.77,12.4,157,5
162,2024-02-02,Friday,midday,1718.44,12.7,70,2
163,2024-02-02,Friday,afternoon,1555.1,12.9,66,5
164,2024-02-02,Friday,evening,2122.57,12.1,110,2
165,2024-02-02,Friday,night,722.54,17.0,131,2
166,2024-02-03,Saturday,morning,1076.02,19.3,80,7
167,2024-02-03,Saturday,midday,2020.94,11.0,46,5
168,2024-02-03,Saturday,afternoon,1629.66,12.7,180,2
169,2024-02-03,Saturday,evening,2375.81,11.3,42,4
170,2024-02-03,Saturday,night,874.92,9.2,199,4
171,2024-02-04,Sunday,morning,889.95,19.7,141,6
172,2024-02-04,Sunday,midday,1575.93,11.8,125,8
173,2024-02-04,Sunday,afternoon,1539.88,17.7,191,5
174,2024-02-04,Sunday,evening,2024.82,19.0,171,6
175,2024-02-04,Sunday,night,699.46,19.2,135,5
176,2024-02-05,Monday,morning,711.4,15.4,65,7
177,2024-02-05,Monday,midday,1252.92,18.9,170,3
178,2024-02-05,Monday,afternoon,952.55,10.0,136,4
179,2024-02-05,Monday,evening,1517.82,16.9,197,4
180,2024-02-05,Monday,night,570.27,12.9,91,4
181,2024-02-06,Tuesday,morning,601.72,9.4,194,3
182,2024-02-06,Tuesday,midday,1272.55,8.9,158,8
183,2024-02-06,Tuesday,afternoon,1023.61,18.9,145,5
184,2024-02-06,Tuesday,evening,1621.04,9.7,79,3
185,2024-02-06,Tuesday,night,601.62,9.1,91,4
186,2024-02-07,Wednesday,morning,799.49,11.1,175,3
187,2024-02-07,Wednesday,midday,1431.11,13.0,135,7
188,2024-02-07,Wednesday,afternoon,1053.37,14.3,126,4
189,2024-02-07,Wednesday,evening,1694.93,11.3,122,3
190,2024-02-07,Wednesday,night,594.35,16.2,165,7
191,2024-02-08,Thursday,morning,838.96,9.1,93,5
192,2024-02-08,Thursday,midday,1249.5,12.8,144,5
193,2024-02-08,Thursday,afternoon,1349.01,18.5,35,3
194,2024-02-08,Thursday,evening,1755.63,8.4,151,6
195,2024-02-08,Thursday,night,568.88,19.2,165,8
196,2024-02-09,Friday,morning,961.99,13.6,144,3
197,2024-02-09,Friday,midday,1691.76,9.8,57,8
198,2024-02-09,Friday,afternoon,1384.28,16.7,195,8
199,2024-02-09,Friday,evening,2168.21,14.6,40,2
200,2024-02-09,Friday,night,631.93,17.4,89,6
201,2024-02-10,Saturday,morning,1180.94,11.6,62,7
202,2024-02-10,Saturday,midday,1834.44,11.0,192,5
203,2024-02-10,Saturday,afternoon,1607.61,8.8,164,6
204,2024-02-10,Saturday,evening,2393.0,10.3,96,3
205,2024-02-10,Saturday,night,810.97,14.4,147,4
206,2024-02-11,Sunday,morning,916.28,19.5,195,8
207,2024-02-11,Sunday,midday,1677.69,10.8,93,2
208,2024-02-11,Sunday,afternoon,1319.39,19.5,196,4
209,2024-02-11,Sunday,evening,2119.42,18.6,195,5
210,2024-02-11,Sunday,night,707.9,9.0,88,7
211,2024-02-12,Monday,morning,611.6,13.9,116,7
212,2024-02-12,Monday,midday,1225.22,13.0,131,3
213,2024-02-12,Monday,afternoon,1086.44,18.1,47,3
214,2024-02-12,Monday,evening,1532.82,13.9,81,4
215,2024-02-12,Monday,night,515.23,13.6,97,8
216,2024-02-13,Tuesday,morning,667.73,18.7,57,6
217,2024-02-13,Tuesday,midday,1208.49,10.7,136,7
218,2024-02-13,Tuesday,afternoon,1081.37,8.7,182,3
219,2024-02-13,Tuesday,evening,1643.59,8.3,182,3
220,2024-02-13,Tuesday,night,527.4,13.0,45,3
221,2024-02-14,Wednesday,morning,626.0,18.6,58,2
222,2024-02-14,Wednesday,midday,1436.23,19.2,114,3
223,2024-02-14,Wednesday,afternoon,1213.92,17.0,38,4
224,2024-02-14,Wednesday,evening,1882.33,16.0,126,8
225,2024-02-14,Wednesday,night,519.57,10.0,30,2
226,2024-02-15,Thursday,morning,851.14,11.4,119,5
227,2024-02-15,Thursday,midday,1439.52,19.6,83,5
228,2024-02-15,Thursday,afternoon,1188.66,12.3,109,8
229,2024-02-15,Thursday,evening,1811.4,16.5,80,4
230,2024-02-15,Thursday,night,567.66,14.5,144,3
231,2024-02-16,Friday,morning,901.86,13.7,191,5
232,2024-02-16,Friday,midday,1797.18,11.0,190,8
233,2024-02-16,Friday,afternoon,1375.85,13.6,45,4
234,2024-02-16,Friday,evening,2203.73,10.3,46,6
235,2024-02-16,Friday,night,686.14,19.5,187,2
236,2024-02-17,Saturday,morning,1134.06,11.1,111,4
237,2024-02-17,Saturday,midday,1852.46,15.1,192,2
238,2024-02-17,Saturday,afternoon,1742.3,8.3,89,2
239,2024-02-17,Saturday,evening,2231.91,19.4,128,8
240,2024-02-17,Saturday,night,841.13,11.0,140,8
241,2024-02-18,Sunday,morning,736.59,10.2,107,8
242,2024-02-18,Sunday,midday,1617.52,16.3,68,6
243,2024-02-18,Sunday,afternoon,1393.83,13.5,182,2
244,2024-02-18,Sunday,evening,2228.4,14.1,130,8
245,2024-02-18,Sunday,night,733.9,15.8,153,6
246,2024-02-19,Monday,morning,749.12,14.5,71,5
247,2024-02-19,Monday,midday,1366.67,11.2,51,3
248,2024-02-19,Monday,afternoon,861.21,9.2,157,7
249,2024-02-19,Monday,evening,1578.58,9.6,147,6
250,2024-02-19,Monday,night,501.4,18.7,90,7
251,2024-02-20,Tuesday,morning,586.08,17.1,105,4
252,2024-02-20,Tuesday,midday,1226.9,11.4,98,4
253,2024-02-20,Tuesday,afternoon,1078.42,13.3,77,3
254,2024-02-20,Tuesday,evening,1682.11,10.8,102,6
255,2024-02-20,Tuesday,night,551.08,11.0,92,6
256,2024-02-21,Wednesday,morning,787.11,14.3,196,8
257,2024-02-21,Wednesday,midday,1402.09,8.4,31,5
258,2024-02-21,Wednesday,afternoon,1192.75,18.6,89,8
259,2024-02-21,Wednesday,evening,1636.63,18.5,89,2
260,2024-02-21,Wednesday,night,594.71,8.6,183,8
261,2024-02-22,Thursday,morning,640.07,12.5,75,5
262,2024-02-22,Thursday,midday,1307.85,15.2,200,2
263,2024-02-22,Thursday,afternoon,1284.8,15.4,85,2
264,2024-02-22,Thursday,evening,1866.45,12.4,66,2
265,2024-02-22,Thursday,night,617.5,15.2,196,3
266,2024-02-23,Friday,morning,1018.82,17.8,113,5
267,2024-02-23,Friday,midday,1657.72,11.7,82,2
268,2024-02-23,Friday,afternoon,1393.91,17.5,170,5
269,2024-02-23,Friday,evening,2194.11,12.7,170,3
270,2024-02-23,Friday,night,734.32,15.7,53,7
271,2024-02-24,Saturday,morning,1143.66,12.9,102,7
272,2024-02-24,Saturday,midday,1995.66,11.7,43,4
273,2024-02-24,Saturday,afternoon,1615.14,13.0,34,8
274,2024-02-24,Saturday,evening,2264.12,17.2,123,7
275,2024-02-24,Saturday,night,852.05,10.4,31,5
276,2024-02-25,Sunday,morning,1042.06,18.8,138,2
277,2024-02-25,Sunday,midday,1644.95,18.6,147,8
278,2024-02-25,Sunday,afternoon,1306.17,10.0,33,2
279,2024-02-25,Sunday,evening,1961.49,18.9,52,6
280,2024-02-25,Sunday,night,653.57,15.5,124,7
281,2024-02-26,Monday,morning,635.09,11.4,163,3
282,2024-02-26,Monday,midday,1188.74,19.1,57,5
283,2024-02-26,Monday,afternoon,875.64,19.6,80,4
284,2024-02-26,Monday,evening,1538.62,9.5,41,5
285,2024-02-26,Monday,night,466.84,15.6,52,7
286,2024-02-27,Tuesday,morning,820.56,15.4,71,7
287,2024-02-27,Tuesday,midday,1272.65,12.9,80,8
288,2024-02-27,Tuesday,afternoon,1024.73,13.7,174,3
289,2024-02-27,Tuesday,evening,1802.51,9.9,121,2
290,2024-02-27,Tuesday,night,588.96,9.8,79,2
291,2024-02-28,Wednesday,morning,874.64,16.1,200,8
292,2024-02-28,Wednesday,midday,1227.46,11.9,129,6
293,2024-02-28,Wednesday,afternoon,990.42,17.3,196,5
294,2024-02-28,Wednesday,evening,1752.71,11.7,93,5
295,2024-02-28,Wednesday,night,511.25,14.0,75,2
296,2024-02-29,Thursday,morning,849.1,8.0,155,5
297,2024-02-29,Thursday,midday,1412.57,17.4,147,8
298,2024-02-29,Thursday,afternoon,1335.28,10.2,151,5
299,2024-02-29,Thursday,evening,1832.81,13.2,53,8
300,2024-02-29,Thursday,night,626.14,13.3,160,7
301,2024-03-01,Friday,morning,1070.09,9.0,110,8
302,2024-03-01,Friday,midday,1708.83,16.6,50,2
303,2024-03-01,Friday,afternoon,1442.2,15.8,64,2
304,2024-03-01,Friday,evening,1990.21,18.3,187,7
305,2024-03-01,Friday,night,706.39,9.6,155,4
306,2024-03-02,Saturday,morning,1043.94,19.5,72,7
307,2024-03-02,Saturday,midday,1934.13,8.8,119,6
308,2024-03-02,Saturday,afternoon,1440.56,17.1,70,4
309,2024-03-02,Saturday,evening,2481.07,17.8,66,4
310,2024-03-02,Saturday,night,771.17,14.0,152,3
311,2024-03-03,Sunday,morning,827.27,10.8,125,2
312,2024-03-03,Sunday,midday,1549.6,10.4,133,3
313,2024-03-03,Sunday,afternoon,1337.76,11.9,126,3
314,2024-03-03,Sunday,evening,2021.13,17.5,97,2
315,2024-03-03,Sunday,night,692.89,18.3,145,6
316,2024-03-04,Monday,morning,654.92,14.3,56,4
317,2024-03-04,Monday,midday,1302.67,12.7,125,4
318,2024-03-04,Monday,afternoon,1015.01,12.5,124,6
319,2024-03-04,Monday,evening,1573.52,9.0,88,3
320,2024-03-04,Monday,night,566.99,15.4,42,4
321,2024-03-05,Tuesday,morning,745.99,15.7,179,7
322,2024-03-05,Tuesday,midday,1204.6,18.7,30,7
323,2024-03-05,Tuesday,afternoon,1124.48,15.4,140,5
324,2024-03-05,Tuesday,evening,1629.59,14.2,42,3
325,2024-03-05,Tuesday,night,430.13,8.5,43,2
326,2024-03-06,Wednesday,morning,768.03,14.8,107,2
327,2024-03-06,Wednesday,midday,1232.16,13.0,107,6
328,2024-03-06,Wednesday,afternoon,1125.71,9.6,123,6
329,2024-03-06,Wednesday,evening,1732.25,8.2,92,7
330,2024-03-06,Wednesday,night,528.58,9.8,54,2
331,2024-03-07,Thursday,morning,695.34,17.4,132,8
332,2024-03-07,Thursday,midday,1276.35,11.2,32,2
333,2024-03-07,Thursday,afternoon,1136.94,12.2,195,6
334,2024-03-07,Thursday,evening,1718.76,13.3,162,7
335,2024-03-07,Thursday,night,551.99,8.0,45,6
336,2024-03-08,Friday,morning,962.16,8.3,77,3
337,2024-03-08,Friday,midday,1775.18,9.3,186,6
338,2024-03-08,Friday,afternoon,1588.36,15.9,80,3
339,2024-03-08,Friday,evening,2077.35,15.7,195,7
340,2024-03-08,Friday,night,770.17,13.0,186,3
341,2024-03-09,Saturday,morning,1051.0,15.5,152,7
342,2024-03-09,Saturday,midday,1888.44,14.5,126,8
343,2024-03-09,Saturday,afternoon,1457.31,9.0,197,5
344,2024-03-09,Saturday,evening,2498.41,10.1,56,4
345,2024-03-09,Saturday,night,812.5,12.0,97,7
346,2024-03-10,Sunday,morning,942.37,8.6,192,6
347,2024-03-10,Sunday,midday,1557.64,19.0,97,4
348,2024-03-10,Sunday,afternoon,1270.11,15.7,85,2
349,2024-03-10,Sunday,evening,2080.22,11.1,90,8
350,2024-03-10,Sunday,night,680.41,16.9,70,7
351,2024-03-11,Monday,morning,724.95,12.7,183,3
352,2024-03-11,Monday,midday,1163.4,12.6,191,7
353,2024-03-11,Monday,afternoon,1172.54,14.4,150,8
354,2024-03-11,Monday,evening,1512.35,14.4,31,8
355,2024-03-11,Monday,night,706.97,10.8,108,8
356,2024-03-12,Tuesday,morning,753.12,10.5,189,6
357,2024-03-12,Tuesday,midday,1415.28,9.7,36,2
358,2024-03-12,Tuesday,afternoon,1162.6,9.3,71,4
359,2024-03-12,Tuesday,evening,1743.02,8.4,65,7
360,2024-03-12,Tuesday,night,522.42,15.7,40,7
361,2024-03-13,Wednesday,morning,782.53,18.3,123,3
362,2024-03-13,Wednesday,midday,1340.23,17.8,166,7
363,2024-03-13,Wednesday,afternoon,1287.31,19.0,128,2
364,2024-03-13,Wednesday,evening,1774.79,11.0,82,2
365,2024-03-13,Wednesday,night,760.93,18.9,192,2
366,2024-03-14,Thursday,morning,841.24,17.9,191,7
367,2024-03-14,Thursday,midday,1391.46,9.2,195,3
368,2024-03-14,Thursday,afternoon,1235.69,11.5,116,5
369,2024-03-14,Thursday,evening,1794.79,19.2,42,7
370,2024-03-14,Thursday,night,674.19,17.1,112,8
371,2024-03-15,Friday,morning,1052.29,18.2,188,7
372,2024-03-15,Friday,midday,1658.76,8.4,135,2
373,2024-03-15,Friday,afternoon,1313.07,12.2,42,6
374,2024-03-15,Friday,evening,2213.56,14.8,53,6
375,2024-03-15,Friday,night,740.77,8.0,81,4
376,2024-03-16,Saturday,morning,1035.73,17.1,43,2
377,2024-03-16,Saturday,midday,1869.31,16.3,77,5
378,2024-03-16,Saturday,afternoon,1649.32,15.1,161,4
379,2024-03-16,Saturday,evening,2388.48,17.8,89,5
380,2024-03-16,Saturday,night,787.85,10.0,192,8
381,2024-03-17,Sunday,morning,1043.08,16.4,56,7
382,2024-03-17,Sunday,midday,1678.56,11.9,54,5
383,2024-03-17,Sunday,afternoon,1531.99,16.9,138,7
384,2024-03-17,Sunday,evening,1996.73,8.3,82,4
385,2024-03-17,Sunday,night,675.74,14.0,127,7
386,2024-03-18,Monday,morning,851.54,10.8,147,3
387,2024-03-18,Monday,midday,1058.55,17.0,195,2
388,2024-03-18,Monday,afternoon,993.6,12.2,113,6
389,2024-03-18,Monday,evening,1616.28,15.9,112,3
390,2024-03-18,Monday,night,637.53,13.6,95,6
391,2024-03-19,Tuesday,morning,728.58,15.7,90,6
392,2024-03-19,Tuesday,midday,1331.63,10.3,107,8
393,2024-03-19,Tuesday,afternoon,1035.3,9.9,69,3
394,2024-03-19,Tuesday,evening,1472.5,16.7,184,6
395,2024-03-19,Tuesday,night,505.89,19.5,96,7
396,2024-03-20,Wednesday,morning,807.81,19.9,72,7
397,2024-03-20,Wednesday,midday,1393.26,19.8,107,7
398,2024-03-20,Wednesday,afternoon,1186.96,11.6,100,3
399,2024-03-20,Wednesday,evening,1846.22,11.4,129,5
400,2024-03-20,Wednesday,night,681.66,8.4,132,8
401,2024-03-21,Thursday,morning,831.35,14.0,191,4
402,2024-03-21,Thursday,midday,1281.04,13.6,66,4
403,2024-03-21,Thursday,afternoon,1135.21,16.9,140,7
404,2024-03-21,Thursday,evening,1750.58,14.9,195,5
405,2024-03-21,Thursday,night,667.38,15.8,194,7
406,2024-03-22,Friday,morning,862.18,15.0,88,7
407,2024-03-22,Friday,midday,1697.19,13.2,96,7
408,2024-03-22,Friday,afternoon,1477.45,16.4,137,3
409,2024-03-22,Friday,evening,2185.54,15.6,94,8
410,2024-03-22,Friday,night,596.18,13.1,146,2
411,2024-03-23,Saturday,morning,1020.71,16.1,76,7
412,2024-03-23,Saturday,midday,1833.22,11.9,32,5
413,2024-03-23,Saturday,afternoon,1706.02,9.3,94,6
414,2024-03-23,Saturday,evening,2277.79,10.6,81,6
415,2024-03-23,Saturday,night,720.28,13.5,82,7
416,2024-03-24,Sunday,morning,1046.46,13.7,34,7
417,2024-03-24,Sunday,midday,1630.32,12.1,146,3
418,2024-03-24,Sunday,afternoon,1305.84,19.9,77,5
419,2024-03-24,Sunday,evening,1884.85,16.7,187,4
420,2024-03-24,Sunday,night,673.91,15.7,94,4
421,2024-03-25,Monday,morning,659.0,8.9,137,7
422,2024-03-25,Monday,midday,1209.27,16.4,120,6
423,2024-03-25,Monday,afternoon,1014.58,16.9,164,3
424,2024-03-25,Monday,evening,1586.78,19.9,130,5
425,2024-03-25,Monday,night,519.95,17.3,192,3
426,2024-03-26,Tuesday,morning,760.9,13.6,173,7
427,2024-03-26,Tuesday,midday,1290.99,12.2,193,8
428,2024-03-26,Tuesday,afternoon,1283.82,17.8,135,5
429,2024-03-26,Tuesday,evening,1755.09,15.8,150,4
430,2024-03-26,Tuesday,night,536.72,17.4,88,4
431,2024-03-27,Wednesday,morning,725.37,19.8,77,5
432,2024-03-27,Wednesday,midday,1213.01,8.0,101,4
433,2024-03-27,Wednesday,afternoon,1142.14,13.8,139,6
434,2024-03-27,Wednesday,evening,1777.78,15.6,198,4
435,2024-03-27,Wednesday,night,609.01,12.6,51,8
436,2024-03-28,Thursday,morning,855.69,14.8,113,8
437,2024-03-28,Thursday,midday,1492.07,12.1,179,2
438,2024-03-28,Thursday,afternoon,1165.28,15.9,83,2
439,2024-03-28,Thursday,evening,1766.19,9.2,66,8
440,2024-03-28,Thursday,night,549.6,10.8,145,4
441,2024-03-29,Friday,morning,971.9,12.8,166,3
442,2024-03-29,Friday,midday,1626.6,15.3,185,8
443,2024-03-29,Friday,afternoon,1585.24,14.6,192,8
444,2024-03-29,Friday,evening,2252.69,11.6,156,7
445,2024-03-29,Friday,night,727.44,18.1,59,6
446,2024-03-30,Saturday,morning,1111.51,9.4,137,3
447,2024-03-30,Saturday,midday,1932.16,14.7,153,5
448,2024-03-30,Saturday,afternoon,1539.83,18.9,155,3
449,2024-03-30,Saturday,evening,2330.37,18.4,31,3
450,2024-03-30,Saturday,night,811.14,18.1,149,7
451,2024-03-31,Sunday,morning,810.67,18.1,125,5
452,2024-03-31,Sunday,midday,1564.66,13.0,49,3
453,2024-03-31,Sunday,afternoon,1305.87,8.3,186,2
454,2024-03-31,Sunday,evening,1983.71,16.2,114,8
455,2024-03-31,Sunday,night,785.01,13.8,66,2
456,2024-04-01,Monday,morning,669.03,10.6,136,7
457,2024-04-01,Monday,midday,1214.9,15.9,117,5
458,2024-04-01,Monday,afternoon,1045.5,17.3,171,8
459,2024-04-01,Monday,evening,1585.74,12.1,94,6
460,2024-04-01,Monday,night,475.76,8.6,104,4
461,2024-04-02,Tuesday,morning,662.71,12.0,99,8
462,2024-04-02,Tuesday,midday,1333.69,14.1,82,7
463,2024-04-02,Tuesday,afternoon,1039.97,10.3,106,3
464,2024-04-02,Tuesday,evening,1621.97,15.0,192,2
465,2024-04-02,Tuesday,night,544.88,16.7,133,6
466,2024-04-03,Wednesday,morning,737.65,14.9,132,4
